[  918370ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[  918380ms] [LOG] [Fast Refresh] done in 111ms @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[ 1295344ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[ 1295359ms] [LOG] [Fast Refresh] done in 127ms @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[ 1524019ms] [WARNING] WARN Symbol legend count exceeds limit, filtering items. @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[ 1524167ms] [WARNING] WARN Symbol legend count exceeds limit, filtering items. @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[ 1524583ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[ 1524624ms] [LOG] [Fast Refresh] done in 176ms @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[ 1854171ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[ 1854258ms] [LOG] [Fast Refresh] done in 160ms @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[ 1863284ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[ 1863412ms] [LOG] [Fast Refresh] done in 139ms @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[ 1870712ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[ 1870834ms] [LOG] [Fast Refresh] done in 213ms @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[ 1874611ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[ 1874622ms] [LOG] [Fast Refresh] done in 67ms @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[ 1901701ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[ 1901718ms] [LOG] [Fast Refresh] done in 106ms @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[ 1907477ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[ 1907494ms] [LOG] [Fast Refresh] done in 84ms @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[ 2420017ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[ 2420079ms] [LOG] [Fast Refresh] done in 162ms @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
